Channel;Company;Category;Subcategory;Year;Month;U;$
B&M;Other exclusives;Make Up;Foundations;2022;Jul;5378;1129038
B&M;Estée Lauder Brasil;Make Up;Lipstick;2023;Dec;61479;9472511
B&M;Other exclusives;Make Up;Powders;2021;Dec;8364;1492235
B&M;Estée Lauder Brasil;Make Up;Mascaras;2022;Dec;12068;2258146
B&M;Estée Lauder Brasil;Make Up;Lipstick;2023;Jul;40134;4889165
B&M;Estée Lauder Brasil;Make Up;Eye liner;2021;Dec;13554;1841695
B&M;Estée Lauder Brasil;Make Up;Blush;2023;Nov;11888;2927062
B&M;Other exclusives;Make Up;Blush;2022;Nov;5270;811569
B&M;Estée Lauder Brasil;Make Up;Foundations;2021;Nov;37524;7731238
B&M;Other exclusives;Make Up;Foundations;2021;Sep;4309;710125
B&M;Estée Lauder Brasil;Make Up;Lipstick;2023;Oct;38691;5159926
Online;Estée Lauder Brasil;Make Up;Foundations;2022;Nov;26258;5559708
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2022;Sep;4436;478103
B&M;Other exclusives;Make Up;Blush;2023;Aug;5040;843849
B&M;Other exclusives;Make Up;Mixed Make up;2023;Oct;3181;591926
B&M;Other exclusives;Make Up;Lip Gloss;2022;Sep;5268;698496
B&M;Estée Lauder Brasil;Make Up;Lipstick;2022;Oct;33179;3943672
Online;Other exclusives;Make Up;Blush;2023;Dec;4660;687644
B&M;Estée Lauder Brasil;Make Up;Lip liner;2022;Dec;5779;621451
B&M;Estée Lauder Brasil;Make Up;Mascaras;2022;May;11370;1987021
B&M;Other exclusives;Make Up;Foundations;2022;Aug;6079;1289364
B&M;Other exclusives;Make Up;Foundations;2023;Apr;5738;1214926
B&M;Other exclusives;Make Up;Foundations;2022;Dec;5959;1377151
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2023;Dec;7338;1545669
B&M;Other exclusives;Make Up;Bronzers;2023;Nov;3627;622049
B&M;Other exclusives;Make Up;Lipstick;2023;Jun;6374;950870
B&M;Other exclusives;Make Up;Lip Gloss;2023;Jun;4887;691669
Online;Other exclusives;Skincare;BC others;2023;Oct;4046;770719
B&M;Estée Lauder Brasil;Make Up;Setting Spray;2022;Dec;5661;1178714
B&M;Other exclusives;Make Up;Mixed Make up;2023;Aug;3460;712766
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2022;Mar;5397;563791
B&M;Estée Lauder Brasil;Make Up;Lipstick;2023;May;40408;5297334
B&M;Estée Lauder Brasil;Make Up;Lipstick;2022;Nov;49822;5328886
B&M;Other exclusives;Make Up;Lipstick;2021;Nov;7390;577823
B&M;Other exclusives;Make Up;Powders;2023;Nov;8067;1532843
Online;Estée Lauder Brasil;Make Up;Foundations;2023;Nov;26214;5969853
B&M;Estée Lauder Brasil;Make Up;Lip liner;2023;Sep;4866;623899
B&M;Other exclusives;Make Up;Foundations;2023;Mar;5865;1247329
B&M;Other exclusives;Make Up;Foundations;2021;Jul;4243;796385
B&M;Estée Lauder Brasil;Make Up;Setting Spray;2022;Apr;4006;717559
B&M;Other exclusives;Make Up;Mixed Make up;2022;Dec;3262;823733
B&M;Estée Lauder Brasil;Make Up;Lipstick;2021;Dec;42846;4790281
Online;Other exclusives;Make Up;Powders;2021;Nov;6929;1023839
B&M;Estée Lauder Brasil;Make Up;Lip liner;2023;Jun;5153;562512
B&M;Other exclusives;Make Up;Mixed Make up;2022;Oct;3054;649083
B&M;Estée Lauder Brasil;Make Up;Foundations;2022;Nov;39165;7669025
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2023;Jun;8689;1374502
B&M;Other exclusives;Make Up;Mascaras;2023;Dec;6765;918273
B&M;Estée Lauder Brasil;Make Up;Setting Spray;2022;Jul;3872;779242
Online;Estée Lauder Brasil;Make Up;Lipstick;2022;Nov;26457;2888944
Online;Other exclusives;Make Up;Blush;2022;Nov;3502;477519
B&M;Other exclusives;Make Up;Mixed Make up;2022;Sep;3016;620099
Online;Other exclusives;Skincare;BC others;2023;Nov;5178;999851
B&M;Other exclusives;Make Up;Blush;2022;Sep;4256;656973
B&M;Other exclusives;Make Up;Lip Gloss;2023;May;5140;736395
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2022;Aug;4586;560063
B&M;Other exclusives;Make Up;Mixed Make up;2022;May;2897;610703
B&M;Estée Lauder Brasil;Make Up;Mascaras;2021;Jul;7957;1161222
B&M;Estée Lauder Brasil;Make Up;Mascaras;2023;Jul;8121;1616358
