Channel;Company;Category;Subcategory;Year;Month;U;$
Online;L'Oréal Brasil;Skincare;Eyes cleansers;2022;Jun;96;20021
Online;L'Oréal Brasil;Skincare;BC Hands;2022;May;53;5879
Online;L'Oréal Brasil;Make Up;Eye liner;2023;Feb;238;39009
B&M;LVMH Brasil;Make Up;Eye primer;2021;Oct;75;13678
B&M;LVMH Brasil;Make Up;Nails;2022;Jun;422;68045
B&M;LVMH Brasil;Make Up;Nails;2022;Aug;405;64776
B&M;LVMH Brasil;Skincare;Pores / Matifier;2022;Jul;56;28046
Online;LVMH Brasil;Make Up;Powders;2021;Jun;384;95146
Online;LVMH Brasil;Make Up;Setting Spray;2021;Aug;132;23853
Online;LVMH Brasil;Make Up;Highlighter;2021;Oct;361;88353
Online;LVMH Brasil;Make Up;Blush;2021;Oct;407;73749
Online;LVMH Brasil;Make Up;Blush;2022;Oct;482;88792
Online;LVMH Brasil;Skincare;Detox;2022;Jun;53;20216
Online;LVMH Brasil;Skincare;Other care;2022;Dec;67;14884
B&M;Estée Lauder Brasil;Skincare;Multibenefit;2021;Jun;346;72678
B&M;Estée Lauder Brasil;Skincare;Multibenefit;2021;Jul;528;96510
B&M;Estée Lauder Brasil;Skincare;Acne Treatment;2021;Jun;162;27945
B&M;Estée Lauder Brasil;Skincare;Acne Treatment;2021;Sep;145;27207
B&M;Estée Lauder Brasil;Skincare;Acne Treatment;2021;Oct;160;30099
B&M;Estée Lauder Brasil;Skincare;Lips;2021;Mar;155;19997
B&M;Estée Lauder Brasil;Skincare;Multibenefit;2022;Nov;170;46657
B&M;Estée Lauder Brasil;Skincare;MC Body;2022;Aug;122;23801
B&M;Estée Lauder Brasil;Skincare;Acne Treatment;2023;Feb;156;36280
Online;Estée Lauder Brasil;Make Up;Mixed eyes;2021;Dec;141;45041
Online;Estée Lauder Brasil;Make Up;Bronzers;2022;Oct;150;33619
Online;Estée Lauder Brasil;Make Up;Primer;2023;Feb;290;62970
Online;Estée Lauder Brasil;Skincare;MC Body;2021;Jan;136;15716
Online;Estée Lauder Brasil;Skincare;MC Body;2021;Feb;135;14459
Online;Estée Lauder Brasil;Skincare;MC Moisturizers;2021;Jun;121;23252
Online;Estée Lauder Brasil;Skincare;MC Moisturizers;2021;May;138;21287
B&M;Other exclusives;Make Up;Eye primer;2021;May;102;13389
B&M;Other exclusives;Skincare;Other care;2021;Aug;53;9388
B&M;Other exclusives;Skincare;Pores / Matifier;2021;Dec;89;16318
B&M;Other exclusives;Skincare;Detox;2021;Mar;58;5102
Online;Other exclusives;Make Up;Mixed eyes;2021;May;163;25499
Online;Other exclusives;Make Up;Eye primer;2021;Jul;75;10680
Online;Other exclusives;Skincare;Lips;2021;Feb;142;12188
Online;Other exclusives;Skincare;BC others;2021;Jan;137;15621
Online;Other exclusives;Skincare;BC Scrub;2021;Aug;103;21834
Online;Other exclusives;Skincare;BC Scrub;2021;Oct;86;17715
Online;Other exclusives;Make Up;Eye Shadow;2022;Jun;206;49126
Online;Other exclusives;Make Up;Mixed eyes;2022;Aug;59;10241
Online;Other exclusives;Skincare;Age Specialists;2022;Apr;122;56673
Online;Other exclusives;Make Up;Mixed Make up;2023;Feb;197;47389
B&M;Shiseido Brasil;Make Up;Mixed eyes;2021;Jul;168;29240
B&M;Shiseido Brasil;Skincare;Other care;2023;May;102;84312
B&M;Shiseido Brasil;Make Up;Highlighter;2021;Jun;122;21814
B&M;Shiseido Brasil;Make Up;Lipstick;2021;Apr;658;92936
Online;Shiseido Brasil;Make Up;Primer;2021;May;94;21114
Online;Shiseido Brasil;Make Up;Bronzers;2022;Jan;134;30072
Online;Shiseido Brasil;Skincare;Eyes care;2022;Feb;194;80525
Online;Shiseido Brasil;Skincare;Mixed Skincare;2022;Mar;155;44855
Online;Shiseido Brasil;Skincare;Other care;2022;Oct;96;52070
Online;Shiseido Brasil;Skincare;Tonics/astringent;2023;Apr;58;16630
Online;Shiseido Brasil;Skincare;Tonics/astringent;2023;Aug;58;17840
Online;Shiseido Brasil;Make Up;Lipstick;2022;Jun;660;101493
B&M;Prestige Cosmeticos;Skincare;Moisturizing;2021;Jul;235;85462
B&M;Prestige Cosmeticos;Skincare;BC Deodorant;2021;Oct;103;19334
B&M;Prestige Cosmeticos;Skincare;BC Deodorant;2022;Apr;87;16018
B&M;Sisley;Skincare;BC Moisturizer;2021;Nov;133;175886
B&M;Sisley;Skincare;Lips;2022;Mar;60;32409
B&M;Sisley;Skincare;Scrubs;2023;Mar;64;53947
B&M;Sisley;Skincare;Scrubs;2023;Jun;60;53110
B&M;Sisley;Skincare;Scrubs;2023;Jul;55;47116
B&M;Amyris;Skincare;BC Moisturizer;2022;May;111;22444
B&M;Amyris;Skincare;BC Moisturizer;2023;Jan;92;23052
Online;Amyris;Skincare;Eyes care;2023;Jan;93;25163
Online;Amyris;Skincare;Tonics/astringent;2023;Dec;53;10436
Online;Universe S.A;Skincare;Face cleansers;2022;Nov;153;22816
B&M;Other Companies;Make Up;Highlighter;2021;Jan;63;11421
B&M;Exi Exportação e Importação;Skincare;Face cleansers;2021;Jan;133;24143
B&M;Exi Exportação e Importação;Skincare;Face cleansers;2023;Feb;177;22157
Online;Exi Exportação e Importação;Skincare;Face cleansers;2022;Jun;225;31059
B&M;L'Oréal Brasil;Make Up;Eye Shadow;2022;Nov;193;59113
B&M;L'Oréal Brasil;Make Up;Brows;2022;Mar;135;24025
B&M;L'Oréal Brasil;Skincare;Tonics/astringent;2022;May;133;31480
B&M;L'Oréal Brasil;Make Up;Eye Shadow;2023;Dec;144;52230
B&M;L'Oréal Brasil;Skincare;BC Hands;2023;Jun;52;7573
Online;L'Oréal Brasil;Make Up;Lipstick;2021;Apr;1083;144862
B&M;LVMH Brasil;Skincare;Face cleansers;2021;Apr;225;58616
B&M;LVMH Brasil;Skincare;Mixed Sun;2021;Dec;120;27120
B&M;LVMH Brasil;Skincare;Pores / Matifier;2023;Jul;162;32549
B&M;LVMH Brasil;Skincare;Detox;2022;Apr;52;20329
B&M;LVMH Brasil;Skincare;Detox;2022;Sep;52;21970
Online;LVMH Brasil;Make Up;Foundations;2021;Feb;1429;425448
Online;LVMH Brasil;Make Up;Plumpers;2021;Feb;245;42453
Online;LVMH Brasil;Make Up;Mixed lips;2021;Oct;89;16450
Online;LVMH Brasil;Skincare;Eyes care;2022;Dec;199;95594
Online;LVMH Brasil;Skincare;Mixed Sun;2023;Nov;112;39288
Online;LVMH Brasil;Make Up;Highlighter;2022;Apr;313;75552
Online;LVMH Brasil;Skincare;Detox;2023;May;52;22733
B&M;Estée Lauder Brasil;Skincare;Eyes cleansers;2021;Apr;52;7815
B&M;Estée Lauder Brasil;Skincare;Acne Treatment;2022;Feb;132;25225
Online;Estée Lauder Brasil;Make Up;Mixed face;2021;May;76;13426
Online;Estée Lauder Brasil;Skincare;Other care;2021;Oct;58;8210
Online;Estée Lauder Brasil;Skincare;Tonics/astringent;2021;Oct;278;60575
Online;Estée Lauder Brasil;Skincare;MC Body;2022;Nov;115;18923
Online;Estée Lauder Brasil;Skincare;Acne Treatment;2023;Jan;179;37397
Online;Estée Lauder Brasil;Skincare;Acne Treatment;2023;Mar;142;29487
Online;Estée Lauder Brasil;Skincare;Eyes cleansers;2023;Jan;52;8117
Online;Estée Lauder Brasil;Make Up;Mixed lips;2022;Oct;90;20427
Online;Estée Lauder Brasil;Make Up;Bronzers;2023;Jun;154;38136
Online;Estée Lauder Brasil;Make Up;Mixed lips;2021;Mar;104;19424
B&M;Other exclusives;Make Up;Bronzers;2021;Feb;71;14019
B&M;Other exclusives;Make Up;Eye primer;2021;Jun;89;10921
B&M;Other exclusives;Make Up;Eye primer;2021;Nov;134;15739
B&M;Other exclusives;Skincare;BC Scrub;2021;Aug;73;17634
B&M;Other exclusives;Skincare;Pores / Matifier;2022;Apr;82;16254
B&M;Other exclusives;Skincare;BC Hands;2022;Jul;67;6961
B&M;Other exclusives;Skincare;Sun block low/mid protection;2022;Oct;54;15913
B&M;Other exclusives;Skincare;Sun block low/mid protection;2022;Dec;102;30759
B&M;Other exclusives;Make Up;Eye primer;2023;Feb;72;8754
Online;Other exclusives;Skincare;Whitening/dark spots;2021;Mar;116;40078
Online;Other exclusives;Skincare;BC Deodorant;2021;Oct;92;12532
Online;Other exclusives;Skincare;Mixed Skincare;2022;Feb;52;23552
Online;Other exclusives;Skincare;Lips;2022;Jun;135;11339
Online;Other exclusives;Skincare;Age Specialists;2023;Dec;67;35836
B&M;Shiseido Brasil;Skincare;Scrubs;2021;Dec;53;12715
B&M;Shiseido Brasil;Skincare;MC Cleansers;2021;Sep;79;13907
B&M;Shiseido Brasil;Make Up;Mixed lips;2022;Jun;188;31989
B&M;Shiseido Brasil;Skincare;Tonics/astringent;2023;Aug;52;16595
B&M;Shiseido Brasil;Skincare;BC Hands;2023;Jan;52;9951
B&M;Shiseido Brasil;Skincare;BC Hands;2023;Aug;52;12313
B&M;Shiseido Brasil;Make Up;Highlighter;2022;Jun;106;16627
Online;Shiseido Brasil;Skincare;Whitening/dark spots;2021;Apr;163;83935
B&M;Prestige Cosmeticos;Skincare;Lips;2021;May;66;6410
B&M;Prestige Cosmeticos;Skincare;BC Deodorant;2022;Jan;71;12991
Online;Prestige Cosmeticos;Skincare;Age Specialists;2023;Nov;239;129704
B&M;Sisley;Skincare;Age Specialists;2021;Nov;324;636599
B&M;Sisley;Skincare;Eyes care;2022;Jul;151;201674
B&M;Amyris;Skincare;BC Moisturizer;2022;Jul;89;16070
B&M;Amyris;Skincare;Mixed Sun;2022;Jun;91;18781
Online;Amyris;Skincare;Mixed Skincare;2022;Feb;132;29727
Online;Amyris;Skincare;Eyes care;2023;Feb;91;24241
Online;Amyris;Skincare;Face cleansers;2023;Sep;89;18021
Online;Universe S.A;Skincare;Detox;2021;Nov;52;6047
Online;Universe S.A;Skincare;Face cleansers;2021;Jun;145;61793
Online;Universe S.A;Skincare;Face cleansers;2022;Jan;94;19858
B&M;Other Companies;Make Up;Concealer;2021;Jan;264;25542
Online;Other Companies;Make Up;Setting Spray;2021;Jul;69;10184
Online;Other Companies;Make Up;Eye liner;2021;May;74;5884
Online;Other Companies;Make Up;Lipstick;2021;Jul;55;3402
Online;Niclos Comercial;Skincare;BC Firming;2022;Jun;64;9264
Online;Niclos Comercial;Skincare;BC Firming;2022;Aug;62;8688
Online;Aeger Comercial e Importaczo Ltda;Skincare;BC Hands;2021;May;52;1489
Online;Aeger Comercial e Importaczo Ltda;Skincare;BC Moisturizer;2022;Nov;59;2489
B&M;L'Oréal Brasil;Skincare;Moisturizing;2021;Feb;211;60589
B&M;L'Oréal Brasil;Skincare;Scrubs;2021;Oct;87;16401
B&M;L'Oréal Brasil;Make Up;Highlighter;2022;Mar;108;25152
B&M;L'Oréal Brasil;Make Up;Eye Shadow;2022;Apr;137;47623
B&M;L'Oréal Brasil;Make Up;Eye Shadow;2022;May;128;44970
B&M;L'Oréal Brasil;Skincare;Eyes care;2023;Dec;276;158125
B&M;L'Oréal Brasil;Skincare;Scrubs;2023;Sep;52;14908
B&M;L'Oréal Brasil;Skincare;BC Deodorant;2023;Dec;145;42776
Online;L'Oréal Brasil;Skincare;Other care;2021;Dec;51;8265
Online;L'Oréal Brasil;Skincare;Scrubs;2021;Feb;51;10710
Online;L'Oréal Brasil;Skincare;Scrubs;2021;Jun;51;10512
Online;L'Oréal Brasil;Make Up;Eye liner;2022;Dec;299;48168
Online;L'Oréal Brasil;Make Up;Lipstick;2022;Mar;891;115357
Online;L'Oréal Brasil;Make Up;Concealer;2023;Apr;368;73010
B&M;LVMH Brasil;Make Up;Foundations;2021;Mar;925;270875
B&M;LVMH Brasil;Make Up;Eye Shadow;2021;May;274;82372
B&M;LVMH Brasil;Make Up;Lip liner;2021;Nov;278;42022
B&M;LVMH Brasil;Skincare;Sun block high protection/High;2021;Jan;63;15947
B&M;LVMH Brasil;Make Up;Lip liner;2022;Nov;317;52907
B&M;LVMH Brasil;Skincare;Moisturizing;2022;Dec;415;136045
B&M;LVMH Brasil;Skincare;Mixed Sun;2022;May;85;18457
B&M;LVMH Brasil;Skincare;After sun;2022;Dec;55;14245
B&M;LVMH Brasil;Skincare;Detox;2022;Mar;51;19500
Online;LVMH Brasil;Make Up;Powders;2021;Dec;379;99669
Online;LVMH Brasil;Make Up;Eye Shadow;2023;Jan;234;79361
Online;LVMH Brasil;Skincare;Pores / Matifier;2023;Jun;132;25820
Online;LVMH Brasil;Skincare;Face cleansers;2023;Aug;171;52009
Online;LVMH Brasil;Make Up;Lipstick;2022;Feb;1201;179740
Online;LVMH Brasil;Make Up;Mixed face;2021;Jul;108;19885
Online;LVMH Brasil;Make Up;Highlighter;2021;Sep;437;100440
Online;LVMH Brasil;Make Up;Highlighter;2022;Mar;410;92311
Online;LVMH Brasil;Make Up;Highlighter;2023;Oct;309;84562
Online;LVMH Brasil;Skincare;Mixed Skincare;2023;Dec;108;71157
Online;LVMH Brasil;Skincare;Lips;2021;Jan;59;7918
B&M;Estée Lauder Brasil;Skincare;BC Hands;2021;Jan;86;17623
B&M;Estée Lauder Brasil;Skincare;Acne Treatment;2021;Aug;130;24298
B&M;Estée Lauder Brasil;Skincare;Whitening/dark spots;2021;Jan;88;22962
B&M;Estée Lauder Brasil;Skincare;Multibenefit;2022;Sep;209;64849
B&M;Estée Lauder Brasil;Skincare;Multibenefit;2022;Dec;175;54894
B&M;Estée Lauder Brasil;Skincare;Whitening/dark spots;2022;Jun;65;30103
B&M;Estée Lauder Brasil;Make Up;Mixed Make up;2022;Apr;136;22816
Online;Estée Lauder Brasil;Make Up;Mixed Make up;2021;Oct;188;29898
Online;Estée Lauder Brasil;Make Up;Mixed eyes;2022;Oct;68;9886
Online;Estée Lauder Brasil;Skincare;Mixed Skincare;2021;Jul;125;28877
Online;Estée Lauder Brasil;Make Up;Mixed lips;2023;May;76;13772
B&M;Other exclusives;Skincare;BC Hands;2022;Apr;86;8471
B&M;Other exclusives;Skincare;BC Hands;2022;Sep;78;7862
B&M;Other exclusives;Skincare;BC Scrub;2022;Jun;68;18963
B&M;Other exclusives;Skincare;Sun block low/mid protection;2022;Nov;83;21730
B&M;Other exclusives;Make Up;Eye primer;2023;Jan;101;12038
B&M;Other exclusives;Skincare;Brightness;2023;Sep;51;12305
B&M;Other exclusives;Skincare;Sun block low/mid protection;2023;Sep;97;27151
Online;Other exclusives;Make Up;Brows;2021;May;89;10422
Online;Other exclusives;Make Up;Brows;2021;Dec;239;37023
Online;Other exclusives;Skincare;BC Scrub;2021;Jul;51;7385
Online;Other exclusives;Make Up;Primer;2022;Oct;187;30851
Online;Other exclusives;Skincare;Scrubs;2022;Feb;53;9588
Online;Other exclusives;Make Up;Plumpers;2023;Feb;51;9084
Online;Other exclusives;Make Up;Plumpers;2023;Oct;51;7789
Online;Other exclusives;Skincare;Eyes care;2023;Apr;66;21692
Online;Other exclusives;Skincare;Mixed Skincare;2023;Oct;51;27376
B&M;Shiseido Brasil;Make Up;Mixed lips;2022;Apr;248;41217
B&M;Shiseido Brasil;Skincare;Pores / Matifier;2022;Nov;59;14870
B&M;Shiseido Brasil;Skincare;Tonics/astringent;2022;Dec;51;14880
B&M;Shiseido Brasil;Make Up;Mixed lips;2023;Jul;236;42772
B&M;Shiseido Brasil;Skincare;Other care;2023;Sep;82;75108
B&M;Shiseido Brasil;Skincare;Other care;2023;Dec;67;72794
B&M;Shiseido Brasil;Skincare;Tonics/astringent;2023;Feb;51;16089
Online;Shiseido Brasil;Skincare;Tonics/astringent;2021;Aug;52;14303
Online;Shiseido Brasil;Skincare;Pores / Matifier;2022;Jul;78;14424
Online;Shiseido Brasil;Skincare;Mixed Skincare;2022;Dec;56;34565
Online;Shiseido Brasil;Skincare;Tonics/astringent;2022;Oct;55;13747
Online;Shiseido Brasil;Skincare;Mixed Skincare;2023;Aug;68;86275
Online;Shiseido Brasil;Skincare;BC Hands;2023;Jan;51;9407
Online;Shiseido Brasil;Make Up;Mixed Make up;2023;Dec;158;46588
B&M;Prestige Cosmeticos;Skincare;Lips;2021;Dec;60;6457
B&M;Prestige Cosmeticos;Skincare;Moisturizing;2022;Jul;221;74692
B&M;Prestige Cosmeticos;Skincare;BC Reductive;2023;Nov;86;32333
Online;Prestige Cosmeticos;Skincare;BC Firming;2021;Dec;173;63651
Online;Prestige Cosmeticos;Skincare;Moisturizing;2022;Aug;148;29866
B&M;Sisley;Skincare;Eyes care;2022;May;127;162344
B&M;Sisley;Skincare;Lips;2022;May;55;29347
B&M;Sisley;Skincare;Eyes care;2023;Sep;119;159753
B&M;Amyris;Skincare;BC Hands;2023;May;51;6021
Online;Amyris;Skincare;Eyes care;2022;Jan;80;20458
Online;Amyris;Skincare;Mixed Skincare;2023;Apr;59;14036
Online;Other Companies;Make Up;Eye Shadow;2021;Mar;261;49119
Online;Other Companies;Make Up;Eye liner;2022;Mar;60;4974
Online;Other Companies;Skincare;Age Specialists;2021;Nov;51;7007
Online;Aeger Comercial e Importaczo Ltda;Skincare;BC Moisturizer;2021;Dec;56;2485
B&M;Puig Brasil;Make Up;Lipstick;2022;Mar;439;66518
Online;Puig Brasil;Make Up;Eye Shadow;2023;Jul;338;60602
B&M;L'Oréal Brasil;Make Up;Eye liner;2021;Mar;84;15398
B&M;L'Oréal Brasil;Skincare;Eyes cleansers;2021;Mar;85;16094
B&M;L'Oréal Brasil;Make Up;Plumpers;2022;Aug;93;16800
B&M;L'Oréal Brasil;Skincare;BC Hands;2023;Apr;50;6860
Online;L'Oréal Brasil;Skincare;Other care;2021;May;50;8822
Online;L'Oréal Brasil;Skincare;Pores / Matifier;2021;Jun;52;10137
Online;L'Oréal Brasil;Make Up;Concealer;2022;Dec;341;67399
Online;L'Oréal Brasil;Skincare;Eyes cleansers;2022;Apr;68;13348
Online;L'Oréal Brasil;Make Up;Concealer;2023;Sep;278;61589
Online;L'Oréal Brasil;Make Up;Primer;2023;Jul;51;6673
B&M;LVMH Brasil;Make Up;Powders;2021;Feb;360;111600
B&M;LVMH Brasil;Make Up;Nails;2021;Jul;449;63744
B&M;LVMH Brasil;Make Up;Highlighter;2021;Feb;509;116281
B&M;LVMH Brasil;Skincare;Detox;2021;Jun;50;19208
Online;LVMH Brasil;Make Up;Highlighter;2021;Jun;354;76408
Online;LVMH Brasil;Make Up;Mixed eyes;2021;Dec;70;15545
Online;LVMH Brasil;Skincare;Eyes care;2021;Jan;156;66454
Online;LVMH Brasil;Skincare;Brightness;2022;Dec;76;35049
Online;LVMH Brasil;Make Up;Powders;2023;Feb;272;90470
Online;LVMH Brasil;Make Up;Highlighter;2023;Aug;369;99136
Online;LVMH Brasil;Make Up;Highlighter;2023;Jan;315;75461
Online;LVMH Brasil;Skincare;Face cleansers;2023;Mar;267;63762
Online;LVMH Brasil;Skincare;Detox;2021;Mar;50;17697
Online;LVMH Brasil;Make Up;Highlighter;2023;Mar;355;97385
B&M;Estée Lauder Brasil;Skincare;Face cleansers;2021;Mar;358;53575
B&M;Estée Lauder Brasil;Skincare;Acne Treatment;2022;Aug;150;33979
B&M;Estée Lauder Brasil;Skincare;Whitening/dark spots;2022;Aug;62;30599
B&M;Estée Lauder Brasil;Skincare;Tonics/astringent;2023;Mar;350;98065
B&M;Estée Lauder Brasil;Skincare;Tonics/astringent;2023;Jul;298;93327
Online;Estée Lauder Brasil;Make Up;Mixed eyes;2021;Jan;69;7315
Online;Estée Lauder Brasil;Make Up;Mixed eyes;2023;Sep;73;12809
Online;Estée Lauder Brasil;Skincare;Pores / Matifier;2021;Nov;133;22885
Online;Estée Lauder Brasil;Skincare;Eyes cleansers;2021;Aug;50;7929
Online;Estée Lauder Brasil;Skincare;BC Deodorant;2021;Jan;50;6733
Online;Estée Lauder Brasil;Skincare;Acne Treatment;2022;Dec;160;28090
Online;Estée Lauder Brasil;Skincare;Lips;2022;Mar;168;27936
Online;Estée Lauder Brasil;Skincare;Tonics/astringent;2023;Sep;171;47437
B&M;Other exclusives;Make Up;Mascaras;2021;Mar;149;17363
B&M;Other exclusives;Make Up;Lip liner;2021;Jan;69;7752
B&M;Other exclusives;Skincare;BC Aromateraphy;2022;Feb;50;8834
B&M;Other exclusives;Make Up;Mixed face;2023;Feb;50;8083
B&M;Other exclusives;Make Up;Mixed face;2023;Mar;50;5858
B&M;Other exclusives;Skincare;BC Feet;2023;Nov;50;8635
Online;Other exclusives;Skincare;Brightness;2021;Dec;56;11999
Online;Other exclusives;Skincare;Brightness;2023;Jul;50;11637
B&M;Shiseido Brasil;Make Up;Mixed eyes;2021;May;158;26675
B&M;Shiseido Brasil;Skincare;Other care;2021;May;93;65844
B&M;Shiseido Brasil;Skincare;Other care;2021;Oct;67;61309
B&M;Shiseido Brasil;Skincare;Other care;2021;Dec;117;73577
B&M;Shiseido Brasil;Skincare;Mixed Skincare;2021;Jan;91;26605
B&M;Shiseido Brasil;Skincare;Skincare Accessories;2021;Mar;50;3871
B&M;Shiseido Brasil;Skincare;Mixed Skincare;2022;Sep;102;57996
B&M;Shiseido Brasil;Skincare;Tonics/astringent;2023;Mar;50;15461
B&M;Shiseido Brasil;Skincare;Tonics/astringent;2023;Apr;50;15470
B&M;Shiseido Brasil;Skincare;BC Hands;2023;Mar;50;11902
B&M;Shiseido Brasil;Skincare;BC Hands;2023;May;50;11784
B&M;Shiseido Brasil;Skincare;Sun block high protection/High;2023;Mar;91;30248
B&M;Shiseido Brasil;Make Up;Lip liner;2023;Dec;138;20779
Online;Shiseido Brasil;Skincare;Other care;2021;Apr;127;57661
Online;Shiseido Brasil;Skincare;Other care;2021;Jul;103;51530
Online;Shiseido Brasil;Make Up;Bronzers;2022;Mar;86;23038
Online;Shiseido Brasil;Make Up;Mixed eyes;2022;Jun;107;17955
Online;Shiseido Brasil;Skincare;Tonics/astringent;2022;May;54;13864
Online;Shiseido Brasil;Make Up;Bronzers;2021;Jul;223;47559
Online;Shiseido Brasil;Make Up;Mixed face;2021;Dec;50;8659
Online;Shiseido Brasil;Make Up;Powders;2022;Jul;248;54054
Online;Shiseido Brasil;Make Up;Lip Gloss;2022;Jun;240;34129
B&M;Prestige Cosmeticos;Skincare;Pores / Matifier;2021;Oct;116;21005
Online;Prestige Cosmeticos;Skincare;Scrubs;2021;Nov;86;13277
Online;Prestige Cosmeticos;Skincare;BC Firming;2021;Sep;151;60706
Online;Prestige Cosmeticos;Skincare;Moisturizing;2023;Jan;101;20638
B&M;Sisley;Skincare;Eyes care;2021;Apr;115;148563
B&M;Sisley;Make Up;Mascaras;2023;Nov;114;35723
B&M;Sisley;Skincare;Eyes care;2023;Jul;126;165520
B&M;Sisley;Skincare;Neck;2023;Nov;52;64574
B&M;Amyris;Skincare;BC Hands;2022;Aug;50;6411
B&M;Amyris;Skincare;BC Moisturizer;2022;Nov;114;22563
Online;Amyris;Skincare;BC Deodorant;2023;Feb;50;7307
Online;Amyris;Skincare;BC others;2023;Jun;50;8312
Online;Amyris;Skincare;BC others;2023;Dec;50;8676
Online;Universe S.A;Skincare;Face cleansers;2021;Jul;146;45395
Online;Universe S.A;Skincare;Age Specialists;2023;Jan;89;8896
Online;Exi Exportação e Importação;Skincare;Tonics/astringent;2021;Mar;50;7110
Online;Aeger Comercial e Importaczo Ltda;Skincare;BC Moisturizer;2022;Jul;52;2011
B&M;Puig Brasil;Make Up;Lipstick;2022;Apr;515;77823
B&M;L'Oréal Brasil;Make Up;Primer;2021;Sep;49;12857
B&M;L'Oréal Brasil;Skincare;Pores / Matifier;2022;Aug;54;13372
B&M;L'Oréal Brasil;Make Up;Eye Shadow;2023;Jul;117;41728
B&M;L'Oréal Brasil;Skincare;Tonics/astringent;2023;Dec;112;34046
B&M;L'Oréal Brasil;Skincare;BC Hands;2023;Jan;49;7076
B&M;L'Oréal Brasil;Skincare;BC Hands;2023;Oct;49;7555
Online;L'Oréal Brasil;Make Up;Lipstick;2021;Sep;512;75199
Online;L'Oréal Brasil;Make Up;Eye liner;2022;Mar;250;42658
Online;L'Oréal Brasil;Make Up;Lipstick;2022;May;1048;175404
Online;L'Oréal Brasil;Skincare;Moisturizing;2022;Feb;232;49710
Online;L'Oréal Brasil;Skincare;Scrubs;2022;Jun;49;9759
Online;L'Oréal Brasil;Make Up;Lipstick;2023;Jan;645;110773
Online;L'Oréal Brasil;Skincare;BC Hands;2023;Oct;49;6046
B&M;LVMH Brasil;Make Up;Lip liner;2021;Dec;264;47648
B&M;LVMH Brasil;Skincare;Moisturizing;2021;Jul;388;127045
B&M;LVMH Brasil;Skincare;BC others;2021;May;49;14087
B&M;LVMH Brasil;Make Up;Lip liner;2022;Dec;292;52819
B&M;LVMH Brasil;Skincare;Mixed Sun;2023;Mar;83;21770
B&M;LVMH Brasil;Make Up;Lip liner;2023;Jul;200;38460
B&M;LVMH Brasil;Skincare;Mixed Skincare;2023;Oct;98;56451
Online;LVMH Brasil;Make Up;Eye Shadow;2022;Oct;234;79672
Online;LVMH Brasil;Skincare;Brightness;2022;Jul;70;34496
Online;LVMH Brasil;Skincare;Self Tanner;2022;Dec;64;19387
Online;LVMH Brasil;Make Up;Nails;2023;Dec;496;91587
Online;LVMH Brasil;Skincare;Eyes care;2023;May;173;101732
Online;LVMH Brasil;Skincare;Face cleansers;2023;Sep;147;41271
Online;LVMH Brasil;Make Up;Powders;2022;Oct;273;84315
Online;LVMH Brasil;Make Up;Highlighter;2021;Jan;307;74771
Online;LVMH Brasil;Skincare;Detox;2021;Aug;49;18779
Online;LVMH Brasil;Skincare;Other care;2021;May;76;11033
B&M;Estée Lauder Brasil;Make Up;Eye primer;2023;Sep;83;16637
B&M;Estée Lauder Brasil;Skincare;Multibenefit;2022;Aug;177;56830
B&M;Estée Lauder Brasil;Skincare;Acne Treatment;2022;Jan;137;25563
B&M;Estée Lauder Brasil;Skincare;Whitening/dark spots;2023;Aug;93;41447
B&M;Estée Lauder Brasil;Make Up;Mixed Make up;2022;Mar;138;22913
Online;Estée Lauder Brasil;Make Up;Bronzers;2023;Jan;180;43888
Online;Estée Lauder Brasil;Skincare;Mixed Skincare;2021;Apr;120;27202
Online;Estée Lauder Brasil;Skincare;Tonics/astringent;2021;Jun;279;53823
Online;Estée Lauder Brasil;Skincare;Acne Treatment;2022;Jun;151;30774
Online;Estée Lauder Brasil;Skincare;Lips;2022;Apr;246;40036
Online;Estée Lauder Brasil;Skincare;Tonics/astringent;2022;Jul;203;49361
Online;Estée Lauder Brasil;Make Up;Mixed lips;2022;May;161;32232
Online;Estée Lauder Brasil;Skincare;Multibenefit;2021;Jul;365;60609
B&M;Other exclusives;Make Up;Bronzers;2021;Jan;75;15235
B&M;Other exclusives;Skincare;Acne Treatment;2021;Jun;49;12536
B&M;Other exclusives;Skincare;BC Scrub;2021;Nov;83;16438
B&M;Other exclusives;Skincare;BC Aromateraphy;2021;May;49;9542
B&M;Other exclusives;Make Up;Eye primer;2022;Sep;131;16152
B&M;Other exclusives;Skincare;Brightness;2022;May;51;12558
B&M;Other exclusives;Skincare;Pores / Matifier;2022;Mar;89;18082
B&M;Other exclusives;Make Up;Eye primer;2023;Jul;115;12753
B&M;Other exclusives;Skincare;Whitening/dark spots;2023;Feb;96;37285
Online;Other exclusives;Make Up;Primer;2021;Mar;197;35282
Online;Other exclusives;Make Up;Primer;2021;Oct;165;26854
Online;Other exclusives;Make Up;Eye primer;2021;May;73;10905
Online;Other exclusives;Skincare;BC Firming;2021;Apr;49;8007
Online;Other exclusives;Make Up;Mixed face;2022;Mar;49;9614
Online;Other exclusives;Skincare;Whitening/dark spots;2022;May;100;39941
Online;Other exclusives;Skincare;Lips;2022;Dec;90;11919
Online;Other exclusives;Skincare;Mixed Skincare;2023;Jul;49;31613
B&M;Shiseido Brasil;Skincare;Mixed Skincare;2021;Apr;112;47516
